"ogs"	"Z_sum"	"w_sum"	"Z_meta"	"p_meta"	"q_meta"	"gene"	"annot"
"ko:K03287"	-15.4190531417382	5	-6.89561019472168	5.36340791709506e-12	2.94987435440228e-08	"TC.OMF"	"TC.OMF; outer membrane factor, OMF family"
"ko:K20426"	-22.6044085603978	11	-6.81548561843066	9.39458723282988e-12	5.16608351933315e-08	"acbU"	"acbU; 1-epi-valienol-7-phosphate kinase [EC:2.7.-.-]"
"ko:K18926"	-17.1982187212511	8	-6.08048854106304	1.19816915367007e-09	6.58154316110971e-06	"lmrB"	"lmrB; MFS transporter, DHA2 family, lincomycin resistance protein"
"ko:K15674"	-18.2524412612405	10	-5.77192872439563	7.83692672337443e-09	4.30012169311555e-05	"rhiA"	"rhiA; rhizoxin biosynthesis, polyketide synthase / nonribosomal peptide synthetase RhiA"
"ko:K22205"	-15.3830975972473	8	-5.43874631333402	5.36567914653668e-08	0.00029403921723021	"E3.13.2.3"	"E3.13.2.3; S-adenosyl-L-methionine hydrolase (adenosine-forming) [EC:3.13.2.3]"
"ko:K17723"	-18.1409061872697	12	-5.23682853528196	1.63359325404083e-07	0.00089422894726195	"preA"	"preA; dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]"
"ko:K13614"	-17.1998550758867	11	-5.18595143047326	2.14914818958222e-07	0.00117601388933939	"pksN, baeN"	"pksN, baeN; bacillaene biosynthesis, polyketide synthase / nonribosomal peptide synthetase PksN/BaeN"
"ko:K03315"	-22.9654685083369	20	-5.1352348719772	2.81791878634537e-07	0.00154168336800955	"nhaC"	"nhaC; Na+:H+ antiporter, NhaC family"
"ko:K06221"	-24.5221709368152	23	-5.11322610429746	3.16702836829392e-07	0.00173204781461995	"dkgA"	"dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]"
"ko:K13888"	-17.9605997950781	13	-4.98137411532632	6.31343488201814e-07	0.00344713544558191	"macA"	"macA; membrane fusion protein, macrolide-specific efflux system"
"ko:K03585"	-12.1751077096803	6	-4.9704669086904	6.67918608550406e-07	0.00364549976546811	"acrA, mexA, adeI, smeD, mtrC, cmeA"	"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system"
"ko:K03445"	-16.9620567012881	12	-4.89652400124919	9.75467388570428e-07	0.00531629726770883	"nepI"	"nepI; MFS transporter, DHA1 family, purine ribonucleoside efflux pump"
"ko:K07315"	-22.0532686227932	21	-4.81241775167353	1.49115247434713e-06	0.00811783407034577	"rsbU_P"	"rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]"
"ko:K08159"	-16.4910043962274	12	-4.7605429136846	1.93072874053508e-06	0.0105031643485108	"sotB"	"sotB; MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein"
"ko:K07484"	-26.7391361278675	32	-4.72685611977133	2.28022714427993e-06	0.0124021554377385	"K07484"	"K07484; transposase"
"ko:K00661"	-22.3558024531647	23	-4.66150704929735	3.13902314544377e-06	0.0170605907954869	"maa"	"maa; maltose O-acetyltransferase [EC:2.3.1.79]"
"ko:K20038"	-17.1986555512085	14	-4.59653404183999	4.29576816571167e-06	0.0233346126761458	"cutC"	"cutC; choline trimethylamine-lyase [EC:4.3.99.4]"
"ko:K06909"	-23.6039170700532	27	-4.54257595810826	5.55709630727125e-06	0.0301639187558684	"xtmB"	"xtmB; phage terminase large subunit"
"ko:K03762"	-14.2736033376993	10	-4.51370969649114	6.37034016594106e-06	0.0345718360805621	"proP"	"proP; MFS transporter, MHS family, proline/betaine transporter"
"ko:K20904"	-12.7307544395159	8	-4.50100139690121	6.76340613686742e-06	0.0366847148863689	"hgdB"	"hgdB; (R)-2-hydroxyglutaryl-CoA dehydratase subunit beta [EC:4.2.1.167]"
"ko:K03446"	-10.9639556853399	6	-4.47601616526156	7.60487292055034e-06	0.0412336209752239	"emrB"	"emrB; MFS transporter, DHA2 family, multidrug resistance protein"
"ko:K04757"	-19.2911176080906	19	-4.42568590324343	9.61363227655947e-06	0.0520674324098461	"rsbW"	"rsbW; serine/threonine-protein kinase RsbW [EC:2.7.11.1]"
"ko:K00633"	-22.4853965367934	26	-4.40974906584542	1.03490469381923e-05	0.0560297401233731	"lacA"	"lacA; galactoside O-acetyltransferase [EC:2.3.1.18]"
"ko:K02572"	-19.1600632390531	19	-4.39561996899374	1.10457037505528e-05	0.0597903944017423	"napF"	"napF; ferredoxin-type protein NapF"
"ko:K12962"	-12.3621342957693	8	-4.37067449523861	1.23863323852423e-05	0.0670100582041607	"arnE"	"arnE; undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE"
"ko:K18446"	-9.47711553518253	5	-4.23829491345749	2.25223791642397e-05	0.121575802728566	"ygiF"	"ygiF; triphosphatase [EC:3.6.1.25]"
"ko:K22051"	-14.5894667021925	12	-4.21161626392195	2.53549998287414e-05	0.13679022407606	"mscM, bspA"	"mscM, bspA; miniconductance mechanosensitive channel"
"ko:K09710"	-9.28887276895604	5	-4.15411018914648	3.26555793779327e-05	0.175980917267679	"ybeB"	"ybeB; ribosome-associated protein"
"ko:K19547"	-9.17399701734872	5	-4.10273619123441	4.0829270228446e-05	0.219865620180182	"bacB"	"bacB; 3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate isomerase [EC:5.3.3.19]"
"ko:K01993"	-14.1504504535059	12	-4.08488318924305	4.4098995565605e-05	0.237428992125217	"ABC-2.TX"	"ABC-2.TX; HlyD family secretion protein"
"ko:K07150"	-18.7147132672331	21	-4.08388524554714	4.42889082132528e-05	0.23840719291194	"K07150"	"K07150; uncharacterized protein"
"ko:K02588"	-14.0927130636119	12	-4.06821584044424	4.73744884906443e-05	0.254874748079666	"nifH"	"nifH; nitrogenase iron protein NifH"
"ko:K01811"	-17.7257037188823	20	-3.96358784644416	7.38316772536797e-05	0.396328443497753	"xylS, yicI"	"xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]"
"ko:K01812"	-13.1224959395361	11	-3.95658139494577	7.6029990199455e-05	0.407976927410275	"uxaC"	"uxaC; glucuronate isomerase [EC:5.3.1.12]"
"ko:K00805"	-10.4627115616309	7	-3.95453326163935	7.66842036483596e-05	0.411410752573449	"hepS"	"hepS; heptaprenyl diphosphate synthase component 1 [EC:2.5.1.30]"
"ko:K00647"	-10.4486874693528	7	-3.94923265299204	7.84021218974959e-05	0.420548981858168	"fabB"	"fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]"
"ko:K01607"	-22.7890723758524	34	-3.90829366916892	9.29502810033083e-05	0.498213506177733	"pcaC"	"pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]"
"ko:K10039"	-11.9718351581887	10	-3.78582668719586	0.000153198424000896	0.818807611413289	"peb1A, glnH"	"peb1A, glnH; aspartate/glutamate/glutamine transport system substrate-binding protein"
"ko:K08082"	-12.5533429085711	11	-3.78497529930901	0.000153723846035459	0.821346509367455	"algZ"	"algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]"
"ko:K07006"	-13.0230642478349	12	-3.75943482458062	0.000170297633651702	0.909389363700089	"K07006"	"K07006; uncharacterized protein"
"ko:K01534"	-10.6245068896617	8	-3.75633043422151	0.000172423003049707	0.920566413282383	"zntA"	"zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]"
"ko:K01804"	-14.7133674123246	16	-3.67834185308115	0.000234755179760553	1	"araA"	"araA; L-arabinose isomerase [EC:5.3.1.4]"
