"fam"	"p_fisher"	"cosp_rat"	"tot"	"qval"	"phylum2"
"f__Eggerthellaceae"	6.02752916820181e-13	0.885714285714286	35	1.56715758373247e-11	"p__Actinobacteriota"
"f__Ruminococcaceae"	6.26538357860891e-09	0	51	8.14499865219159e-08	"p__Firmicutes_A"
"f__Dialisteraceae"	5.32313570874204e-08	1	14	4.61338428090976e-07	"p__Firmicutes_C"
"f__Acutalibacteraceae"	3.31228444292161e-07	0.69047619047619	42	2.15298488789904e-06	"p__Firmicutes_A"
"f__Treponemataceae"	6.27726098606585e-05	0	27	0.000326417571275424	"p__Spirochaetota"
"f__Bacteroidaceae"	0.000290130963808966	0.435064935064935	154	0.00125723417650552	"p__Bacteroidota"
"f__Atopobiaceae"	0.00056265015241077	0	22	0.00208984342324	"p__Actinobacteriota"
"f__Anaerovoracaceae"	0.000760952219928099	0.733333333333333	15	0.00247309471476632	"p__Firmicutes_A"
"f__Lachnospiraceae"	0.000924017054083058	0.159574468085106	94	0.00266938260068439	"p__Firmicutes_A"
"f__Acidaminococcaceae"	0.00260016319207049	0	17	0.00676042429938328	"p__Firmicutes_C"
"f__Burkholderiaceae"	0.00318149590348717	0.619047619047619	21	0.00751989940824239	"p__Proteobacteria"
"f__CAG-826"	0.00728887508151567	0.14	50	0.0140495309257527	"p__Firmicutes"
"f__CAG-288"	0.00756513203694375	0	14	0.0140495309257527	"p__Firmicutes"
"f__Staphylococcaceae"	0.00756513203694375	0	14	0.0140495309257527	"p__Firmicutes"
"f__Borkfalkiaceae"	0.0127736060333592	0	13	0.0221409171244892	"p__Firmicutes_A"
"f__Bifidobacteriaceae"	0.0368504621321884	0	10	0.0532284453020499	"p__Actinobacteriota"
"f__Tannerellaceae"	0.0368504621321884	0	10	0.0532284453020499	"p__Bacteroidota"
"f__W3P20-009"	0.0368504621321884	0	10	0.0532284453020499	"p__Bacteroidota"
"f__Methanomethylophilaceae"	0.0447245530020616	0.5	24	0.061202019897558	"p__Thermoplasmatota"
"f__UBA660"	0.0693068748542014	0.130434782608696	23	0.0900989373104618	"p__Firmicutes"
"f__Paludibacteraceae"	0.0822375939047486	0.454545454545455	33	0.101817973405879	"p__Bacteroidota"
"f__Sphaerochaetaceae"	0.0884711188717524	0.461538461538462	26	0.104556776848435	"p__Spirochaetota"
"f__Oscillospiraceae"	0.341562486799555	0.25	68	0.38611411551254	"p__Firmicutes_A"
"f__UBA1067"	0.456884937385983	0.210526315789474	19	0.494958682168148	"p__Verrucomicrobiota"
"f__UBA932"	0.891641589577834	0.313432835820896	67	0.927307253160947	"p__Bacteroidota"
"f__Erysipelotrichaceae"	1	0.314285714285714	35	1	"p__Firmicutes"
