"trait"	"Estimate"	"Std..Error"	"z.value"	"Pr...z.."	"q"
"D-Xylose"	-0.614340622130383	0.09841940689355	-6.24206791649183	4.31823362515731e-10	1.94320513132079e-08
"Glucose fermenter"	-0.61166436334645	0.118095209962318	-5.17941721380248	2.22580162200457e-07	9.79352713682011e-06
"D-Mannose"	-0.506602157995076	0.099235848567682	-5.10503175321323	3.30738974378426e-07	1.42217758982723e-05
"L-Arabinose"	-0.573266643735807	0.113162278878273	-5.06588104639056	4.06515721420448e-07	1.70736602996588e-05
"Genome Size (Mb)"	-0.411730496222521	0.0825063030665407	-4.99029141919573	6.02882688088137e-07	2.47181902116136e-05
"Gene count (k)"	-0.461777629762918	0.096040883863914	-4.80813598526684	1.52344126003458e-06	6.0937650401383e-05
"Sucrose"	-0.500924434235508	0.104242157746566	-4.80539203201603	1.54448568537319e-06	6.0937650401383e-05
"Maltose"	-0.4580395996362	0.0958277845451109	-4.7798204018854	1.75451855711172e-06	6.66717051702453e-05
"Motile"	-0.973230942608836	0.241393380802992	-4.03172174552341	5.53697198392195e-05	0.00204867963405112
"Pyrrolidonyl-beta-naphthylamide"	-0.864297865212726	0.218117546835333	-3.96253248650933	7.41589123381736e-05	0.00266972084417425
"Trehalose"	-0.574824920807578	0.153560467981288	-3.74331316102542	0.000181609655102379	0.00635633792858325
"Glycerol"	-1.58838429277412	0.451784343346913	-3.51580198863696	0.000438427836534966	0.0149065464421889
"Bile-susceptible"	-0.3677767272742	0.106788535684062	-3.44397200428219	0.000573235054787555	0.0189167568079893
"Arginine dihydrolase"	0.380626722662502	0.110605460831684	3.44130135890603	0.000578923367381109	0.0189167568079893
"Citrate"	-0.292921796543245	0.0931807649859892	-3.14358651796097	0.00166891072589472	0.0517362325027362
"Gas from glucose"	-0.63534128110499	0.212573151903422	-2.98881244134557	0.00280063993440635	0.0840191980321907
"Lactose"	-0.30083622273024	0.103928311617982	-2.89465130383381	0.0037957992822496	0.110078179185238
"Coccus"	-0.508914338293347	0.181293745884263	-2.8071257274271	0.00499857281492445	0.139960038817885
"L-Rhamnose"	-0.31218057165799	0.115286941801997	-2.7078571673291	0.00677191599949596	0.182841731986391
"Salicin"	-0.336545547446225	0.128329590156149	-2.62250932958426	0.00872848779873099	0.226940682767006
"Raffinose"	-0.263901752758023	0.111283895378443	-2.37142806567449	0.0177194955413375	0.442987388533438
"Esculin hydrolysis"	-0.217465864221081	0.0959941672712091	-2.26540705964647	0.023487711518662	0.563705076447888
"D-Mannitol"	-0.46727103652997	0.219827359310375	-2.12562730133253	0.0335343045127223	0.771289003792612
"Tartrate utilization"	-0.318469624102738	0.156810320164262	-2.03092260617244	0.0422628461740494	0.929782615829088
"Bacillus or coccobacillus"	0.278550415215402	0.138098779699651	2.01703748448188	0.0436916016869206	0.929782615829088
"Gram positive"	0.377331375262846	0.199741629587271	1.88909731057332	0.0588787907616343	1
"ONPG (beta galactosidase)"	-0.18837921236542	0.104618937646862	-1.80062249342743	0.0717624013698201	1
"Capnophilic"	0.256982675510404	0.16585655018098	1.54942735291424	0.121279022622248	1
"Colistin-Polymyxin susceptible"	-0.172974182366831	0.117531782212506	-1.47172261928337	0.141095796894585	1
"Alkaline phosphatase"	-0.144738936752774	0.101500808666169	-1.42598801580796	0.153871801361407	1
"Coagulase production"	-0.181212315255423	0.141646128862463	-1.27933122289122	0.200780442064136	1
"Growth at 42°C"	-0.12027437487695	0.10338364408855	-1.16337913929531	0.244675709454561	1
"Indole"	-0.210998955322101	0.192836268913522	-1.09418708685307	0.273872933752917	1
"Spore formation"	0.18849352160108	0.196300930056186	0.960227348628093	0.336940805428888	1
"Voges Proskauer"	-0.207822532001753	0.219164298888833	-0.948249934206515	0.343002231909462	1
"Melibiose"	-0.0847260691933012	0.121746460051433	-0.695922240018377	0.486477528559876	1
"Starch hydrolysis"	-0.0851486707183615	0.126399383161295	-0.673647834259644	0.500535234213966	1
"Growth on ordinary blood agar"	-0.0927655799596985	0.147157189049851	-0.630384288791172	0.528443187597997	1
"DNase"	0.0920309572803143	0.146237119045259	0.629326930680517	0.529135043916813	1
"Gram negative"	0.175126866351844	0.29281781983708	0.59807448347673	0.549790235230595	1
"Malonate"	-0.0992940440967722	0.194302678087554	-0.511027666083068	0.609331684393782	1
"Hydrogen sulfide"	0.050141615352965	0.107731806407792	0.465430006465931	0.641623550025929	1
"Casein hydrolysis"	0.0187064558721311	0.119704149880186	0.156272409025541	0.875818303531553	1
"Gelatin hydrolysis"	-0.015010246798101	0.146479027456101	-0.10247369236937	0.918380693354401	1
"Facultative"	0.0174235573616149	0.207710848899334	0.0838837136044789	0.933148888578698	1
