"trait"	"comp"	"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"mean_abu1"	"mean_abu2"	"log_fold_diff"	"q"	"status"
"ko:K00001"	"human"	-0.13735706358205	0.0837330562997534	-1.64041621854014	0.102789636649949	458187.75133003	540989.028756881	0.166119627519664	1	"Human_EUR"
"ko:K00001"	"hdi_diff"	0.492147263990884	0.091823309890777	5.35972036486475	2.71684081240786e-07	387412.175631887	614577.937545941	0.461445618124711	0.00344495415013317	"Human_EUR"
"ko:K00002"	"human"	-0.69545558001991	0.192776583493641	-3.60757290857812	0.000407373096547921	218100.300635304	106036.629933993	-0.721165606179263	1	"other"
"ko:K00002"	"hdi_diff"	0.309293542565657	0.211402578002805	1.46305473418377	0.145320763665932	85739.7278837388	115762.228833073	0.300219023846764	1	"other"
"ko:K00003"	"human"	-0.0690613397334706	0.0208467276434945	-3.31281440974849	0.00113104143120837	906312.423937184	905910.145473953	-0.000443960949021674	1	"other"
"ko:K00003"	"hdi_diff"	0.09828755142127	0.0228609299267016	4.29936803692618	2.89593326446059e-05	850093.78154369	932655.486523871	0.0926891004390992	0.367204337933603	"other"
"ko:K00004"	"human"	-0.184326261235361	0.118213334332574	-1.55926793094923	0.120814777755358	167929.902889334	220248.097291588	0.271206563771315	1	"Human_EUR"
"ko:K00004"	"hdi_diff"	0.709551436972448	0.12963505825923	5.47345329651153	1.5814944644786e-07	137235.389503998	260025.019773142	0.639076792313197	0.00200533498095887	"Human_EUR"
"ko:K00005"	"human"	-0.334235259200529	0.121335978802898	-2.75462614220529	0.00652375929873609	176243.431101991	208734.18379518	0.169194540771843	1	"Human_EUR"
"ko:K00005"	"hdi_diff"	0.74629966257748	0.133059411358809	5.60877020991022	8.2296315705979e-08	123734.164259297	249463.359822791	0.701172549097728	0.00104351728315181	"Human_EUR"
"ko:K00008"	"human"	0.649630782859616	0.0587551434738322	11.0565772535122	1.0625171542891e-21	352928.869189909	735828.888353386	0.734729595714081	1.34727175163859e-17	"Human"
"ko:K00008"	"hdi_diff"	0.160718814698096	0.0644320413620283	2.49439271673942	0.0135838010313813	665815.179879516	769377.123663782	0.144568930675385	1	"Human"
"ko:K00009"	"human"	0.157493041664725	0.0523910547817282	3.00610557128259	0.00305225463900471	457730.93765154	578998.508965327	0.235017905703639	1	"other"
"ko:K00009"	"hdi_diff"	0.0922700759464429	0.0574530570281056	1.60600811722351	0.110150130278033	546357.815652873	594638.841177545	0.0846799818992408	1	"other"
"ko:K00010"	"human"	-0.61656381771209	0.122631224150095	-5.02778816720809	1.26269885501997e-06	176902.904326731	152749.776100239	-0.146798992843256	0.0160110214816532	"NHA"
"ko:K00010"	"hdi_diff"	0.757259855919776	0.134479802780741	5.63103038717592	7.38403439016651e-08	88667.296832913	183455.9640825	0.727077706549646	0.000936295560673114	"NHA"
"ko:K00012"	"human"	0.0925118372056142	0.0421662151392862	2.19398010706019	0.0296097293570174	724772.676585347	756660.002353465	0.0430559000105424	1	"other"
"ko:K00012"	"hdi_diff"	-0.0582227544528369	0.0462402975689215	-1.25913451067341	0.209728430511561	785709.843449387	742740.286828336	-0.0562410577788402	1	"other"
"ko:K00013"	"human"	0.0277285413656802	0.0421339309199808	0.658104780642025	0.511371598300248	712639.805589352	767413.940092903	0.0740501315810758	1	"other"
"ko:K00013"	"hdi_diff"	0.0678436597056693	0.0462048940615749	1.468321940426	0.143886635260211	730826.320558337	784945.507786548	0.0714383642553144	1	"other"
"ko:K00014"	"human"	-0.00463615748444623	0.0150218883011521	-0.308626811190618	0.757987793895374	945597.332966461	949715.719713869	0.00434586663935041	1	"other"
"ko:K00014"	"hdi_diff"	0.0106242953297861	0.0164732969937631	0.644940435045181	0.519845521624501	942470.892194454	953187.199566922	0.0113062690677505	1	"other"
"ko:K00015"	"human"	-0.945469302047235	0.10215991338152	-9.25479741272241	9.76298390792648e-17	171312.487709568	134118.590876195	-0.244763268426902	1.23794635952508e-12	"NHA"
"ko:K00015"	"hdi_diff"	0.862785479032783	0.112030562353591	7.70134024954424	1.10494704848998e-12	68157.4934117378	165724.950077914	0.888499742393414	1.40107285748529e-08	"NHA"
"ko:K00016"	"human"	-0.14969379686809	0.09131990373048	-1.63922420800939	0.103037857573386	434406.049574381	478244.459286045	0.0961421170493885	1	"other"
"ko:K00016"	"hdi_diff"	0.394875629648405	0.100143195411637	3.94310994396849	0.000117880222194201	377346.539075432	526591.379386964	0.33326015849449	1	"other"
"ko:K00018"	"human"	0.242286953787775	0.0556985272467795	4.34997056051934	2.35575356881719e-05	556735.197231912	681856.524282299	0.202729213192312	0.29870955252602	"other"
"ko:K00018"	"hdi_diff"	-0.0309406692962573	0.0610800961275313	-0.50655894895213	0.613128479591164	697434.375947949	674392.137025841	-0.0335966282114325	1	"other"
"ko:K00019"	"human"	0.330650887682171	0.186942890594891	1.76872673055376	0.0787541772739831	39792.6471447591	91029.5368441609	0.827487739870545	1	"other"
"ko:K00019"	"hdi_diff"	0.9430368113474	0.205005236086466	4.60006207329089	8.28225581170283e-06	50561.0847608791	110420.670134067	0.7811044196354	0.105019003692392	"other"
"ko:K00020"	"human"	-0.754022918279767	0.114869898145318	-6.56414718263161	6.24134592061346e-10	231589.27973276	181485.392945997	-0.243789093852259	7.91402662733787e-06	"NHA"
"ko:K00020"	"hdi_diff"	0.678279059625757	0.125968580637496	5.38450982136302	2.41610271405312e-07	115103.620696016	213293.325482447	0.616831561686948	0.00306361824141936	"NHA"
"ko:K00021"	"human"	-1.94599435326795	0.202125331929104	-9.62766188035509	9.54856205002512e-18	75564.3707837532	29117.0516905921	-0.953639804968224	1.21075766794319e-13	"NHA"
"ko:K00021"	"hdi_diff"	1.2550925182059	0.22165459868156	5.66237978219901	6.33552115779046e-08	14974.9151832092	35893.4921003798	0.874140604131057	0.00080334408280783	"NHA"
"ko:K00023"	"human"	-0.527429767879772	0.115814071775674	-4.55410780221404	1.00671475221446e-05	316506.579399502	161151.212033989	-0.674997854127188	0.127651430580793	"other"
"ko:K00023"	"hdi_diff"	-0.351416675774709	0.127003979937153	-2.76697372750527	0.00629223042662431	199477.890321222	142786.34535469	-0.334351989790804	1	"other"
"ko:K00024"	"human"	0.365652359846663	0.127252073739016	2.873449124268	0.00458473647685393	414339.231091424	386671.09656195	-0.0691104123850599	1	"Human_AFR"
"ko:K00024"	"hdi_diff"	-0.716476617077816	0.139547116963604	-5.13429895699448	7.76741669505597e-07	557371.245256524	304877.275312466	-0.603320720972676	0.00984908436933097	"Human_AFR"
"ko:K00027"	"human"	0.00526644532907771	0.0292970725272809	0.179760121908894	0.857557525311719	783590.351576097	852576.390881883	0.0843763369049053	1	"other"
"ko:K00027"	"hdi_diff"	0.115154593169991	0.0321277436707276	3.58427265699682	0.00044265998699671	792239.199592462	881487.961708063	0.106747851443208	1	"other"
"ko:K00029"	"human"	0.217584270462392	0.143174586238992	1.51971293354529	0.1304628960159	405820.735011997	342956.066143798	-0.16830871911547	1	"other"
"ko:K00029"	"hdi_diff"	-0.61442183923145	0.157008056097261	-3.91331409676736	0.000132033792525106	472378.050867337	280941.365130436	-0.519632195166556	1	"other"
"ko:K00030"	"human"	-1.09715259428931	0.141982100151384	-7.72740079995647	9.50234555025165e-13	298238.363917929	170092.575207031	-0.561547670702323	1.20489741577191e-08	"NHA"
"ko:K00030"	"hdi_diff"	0.808894246819865	0.155700352492475	5.19519855845514	5.86542880896635e-07	98525.3735508082	204385.192667304	0.729687041372771	0.00743736372976933	"NHA"
"ko:K00031"	"human"	0.167457406990939	0.0458079873576876	3.65563773154586	0.000342785091672571	597894.287416419	704944.030846159	0.164704195378233	1	"other"
"ko:K00031"	"hdi_diff"	0.00538191552838205	0.0502339363268904	0.107137045629074	0.914808092126314	699153.868216305	707718.483772964	0.0121755313093598	1	"other"
"ko:K00032"	"human"	4.75430081793424	0.770800347821732	6.16800554303045	4.99032819560777e-09	2246.63504563626	14703.442706552	1.8782711004548	6.32773615203065e-05	"Human"
"ko:K00032"	"hdi_diff"	0.214412589678317	0.845274761601674	0.253660229097621	0.80006822595709	9861.3831912774	17023.5962242878	0.545931292740857	1	"Human"
"ko:K00033"	"human"	0.045337337747782	0.161843168873431	0.280131302812279	0.779721402085848	77014.5895866956	165567.953450325	0.765379881684179	1	"Human_EUR"
"ko:K00033"	"hdi_diff"	1.04372043898395	0.177480389536602	5.88076486483432	2.14845798882421e-08	93534.3024298256	200084.077897648	0.760403734454929	0.000272424472982909	"Human_EUR"
"ko:K00034"	"human"	0.0418242643993197	0.149022995785244	0.280656446201044	0.779319239361176	65655.5801721062	88788.2212912998	0.301827433944057	1	"other"
"ko:K00034"	"hdi_diff"	0.52209715474243	0.163421536577553	3.1947879433545	0.0016714551327663	60505.0334422683	102340.582135627	0.525572976476103	1	"other"
"ko:K00036"	"human"	-0.41422183823606	0.183138537806658	-2.26179504978554	0.0249920647502294	68832.7064827332	144363.654330608	0.740648875617404	1	"Human_EUR"
"ko:K00036"	"hdi_diff"	1.4169505085747	0.200833308290624	7.0553561091781	4.30216015674497e-11	72567.1310896412	178766.155050238	0.901558289528416	5.45513907875262e-07	"Human_EUR"
"ko:K00038"	"human"	-0.88620866400741	0.358620084007328	-2.47116294799959	0.0144648452636608	42832.9067357708	33953.75309071	-0.23230115552778	1	"other"
"ko:K00038"	"hdi_diff"	1.08037261518264	0.393269809583654	2.74715370683146	0.00666760264159419	21298.0303465488	40017.9535722873	0.630691633151781	1	"other"
"ko:K00039"	"human"	5.42559759719732	0.644250173580735	8.42156947671727	1.58072129640522e-14	888.285547817633	32215.8791761386	3.58982740712089	2.00435460384182e-10	"Human"
"ko:K00039"	"hdi_diff"	0.724438535835952	0.706497361377993	1.02539453852024	0.306651227075753	15315.2226947316	40314.1104068127	0.967813773221721	1	"Human"
"ko:K00040"	"human"	0.0154219572310177	0.0751042500734521	0.205340672677444	0.837554562824589	481151.099109111	516387.021143727	0.0706750273631628	1	"other"
"ko:K00040"	"hdi_diff"	0.0644806419564387	0.0823607919424448	0.782904588891022	0.434785350410965	497643.319374933	525368.378241274	0.0542159890726063	1	"other"
"ko:K00041"	"human"	0.174211454080245	0.062825149316936	2.77295726272603	0.00618273983719674	412025.979608644	505694.58364575	0.204846043204709	1	"other"
"ko:K00041"	"hdi_diff"	0.0252731993245295	0.0688952895020547	0.36683493903855	0.714203768361029	501108.404353188	507892.127890102	0.0134465980691714	1	"other"
"ko:K00042"	"human"	-0.72730646065482	0.0993637197215254	-7.31963801972343	9.79776425355691e-12	237261.258848553	220407.566740251	-0.0736831611689147	1.24235650735102e-07	"NHA"
"ko:K00042"	"hdi_diff"	0.87840036163328	0.108964201607876	8.06136647331513	1.34851029044476e-13	113182.368401307	271786.307610995	0.876010570370374	1.70991104828395e-09	"NHA"
"ko:K00045"	"human"	1.57521349593943	0.284330236531192	5.54008435809334	1.14796250375022e-07	88198.4618263574	201877.721821293	0.82806626882129	0.00145561645475528	"Human"
"ko:K00045"	"hdi_diff"	-1.13455171426135	0.311802107483785	-3.63869161570807	0.000364366180319229	335530.233389445	137835.893361553	-0.889643993167302	1	"Human"
"ko:K00046"	"human"	0.0584776891884475	0.0552458967290821	1.05849832568043	0.291347869791972	486103.208371791	528787.642831479	0.0841657896254684	1	"other"
"ko:K00046"	"hdi_diff"	0.0331751106279653	0.060583732634674	0.547591064222051	0.584699483312206	516260.605171169	534790.181710378	0.0352627323703874	1	"other"
"ko:K00048"	"human"	-0.401064098167545	0.0695273894846274	-5.7684331475759	3.75902570892705e-08	465369.298436647	490453.784503464	0.0524996628962564	0.000476644459891949	"NHA"
"ko:K00048"	"hdi_diff"	0.59900443393735	0.0762450973685824	7.85630098997259	4.49128652817421e-13	323997.623621504	570214.028259404	0.56527426454934	5.6949513177249e-09	"NHA"
"ko:K00052"	"human"	0.0306927073123692	0.0369783689936274	0.830017876603983	0.407706577502819	734665.560253374	809166.982325173	0.0965898006795835	1	"other"
"ko:K00052"	"hdi_diff"	0.101810666383561	0.0405512038543295	2.51066939342398	0.0129952952109637	752491.688876713	836323.893769226	0.105625885701226	1	"other"
"ko:K00053"	"human"	-0.000564497683810765	0.0504679563077389	-0.0111852693294855	0.991088903842612	633657.22649924	714633.878991765	0.12026201934888	1	"other"
"ko:K00053"	"hdi_diff"	0.17103505926283	0.0553441495675269	3.09039095549106	0.00234028612146925	639681.512529102	750548.554588458	0.159833698564208	1	"other"
"ko:K00054"	"human"	-0.913868168198103	0.274653321177031	-3.32735160194571	0.00107713297983291	39282.0895455125	31055.3241597967	-0.234991670526259	1	"other"
"ko:K00054"	"hdi_diff"	0.727647916627487	0.30119021253311	2.41590824119989	0.0167678359493366	20281.600245345	36217.7335354715	0.579813098224209	1	"other"
"ko:K00055"	"human"	0.653237728304244	0.480670615176799	1.35901323625529	0.175964038892231	9077.29738127326	20215.0689626071	0.80059111941372	1	"other"
"ko:K00055"	"hdi_diff"	0.784499033112087	0.527112813065915	1.48829437203225	0.138547949454466	10732.3283589788	24758.8821685124	0.835870988426726	1	"other"
"ko:K00057"	"human"	-0.201342171889634	0.0372345712870269	-5.40739868703106	2.16739408115182e-07	794281.404506591	799020.477740753	0.00594875498937713	0.0027482556949005	"NHA"
"ko:K00057"	"hdi_diff"	0.273272641335183	0.0408321603083413	6.6925834751721	3.13238217173658e-10	671778.979016834	859990.362545964	0.246991470911161	3.97186059376198e-06	"NHA"
"ko:K00058"	"human"	-0.00414429769639664	0.00450274731463517	-0.92039313041763	0.358687070996147	983273.659587489	985903.013858224	0.00267051016631689	1	"other"
"ko:K00058"	"hdi_diff"	0.00976246075246496	0.0049378009152262	1.97708674773854	0.0496680457746357	979549.039974046	988947.626344392	0.00954906187972833	1	"other"
"ko:K00059"	"human"	0.0579790226691277	0.0106645201640851	5.43662741286604	1.88584273481135e-07	935939.334829343	991189.137223751	0.0573546503208362	0.00239124858774079	"Human"
"ko:K00059"	"hdi_diff"	0.00145719316347074	0.0116949217326743	0.124600505824636	0.900988791803504	990200.76178216	991662.733789514	0.00147534963982705	1	"Human"
