"ogs"	"tax"	"B_prev"	"V_prev"	"pval"	"effect"	"Zscore"	"annot"
"ko:K00020"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
"ko:K00030"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
"ko:K00042"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"
"ko:K00074"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
"ko:K00249"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"
"ko:K00331"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]"
"ko:K00342"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]"
"ko:K00347"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]"
"ko:K00549"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"ko:K00603"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"fctD; glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]"
"ko:K00625"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"pta; phosphate acetyltransferase [EC:2.3.1.8]"
"ko:K00627"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
"ko:K00768"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]"
"ko:K00798"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
"ko:K00805"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"hepS; heptaprenyl diphosphate synthase component 1 [EC:2.5.1.30]"
"ko:K00863"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]"
"ko:K00864"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"glpK, GK; glycerol kinase [EC:2.7.1.30]"
"ko:K00936"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]"
"ko:K01039"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"gctA; glutaconate CoA-transferase, subunit A [EC:2.8.3.12]"
"ko:K01040"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"gctB; glutaconate CoA-transferase, subunit B [EC:2.8.3.12]"
"ko:K01073"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"E3.1.2.20; acyl-CoA hydrolase [EC:3.1.2.20]"
"ko:K01075"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"E3.1.2.23; 4-hydroxybenzoyl-CoA thioesterase [EC:3.1.2.23]"
"ko:K01251"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]"
"ko:K01270"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"pepD; dipeptidase D [EC:3.4.13.-]"
"ko:K01273"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"DPEP; membrane dipeptidase [EC:3.4.13.19]"
"ko:K01425"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"glsA, GLS; glutaminase [EC:3.5.1.2]"
"ko:K01439"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]"
"ko:K01468"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]"
"ko:K01469"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]"
"ko:K01560"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]"
"ko:K01625"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]"
"ko:K01643"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"citF; citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]"
"ko:K01644"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]"
"ko:K01646"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"citD; citrate lyase subunit gamma (acyl carrier protein)"
"ko:K01677"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]"
"ko:K01681"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"
"ko:K01708"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"garD; galactarate dehydratase [EC:4.2.1.42]"
"ko:K01712"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"hutU, UROC1; urocanate hydratase [EC:4.2.1.49]"
