"mod"	"comp"	"n"	"n_sig"	"p"	"est"	"mean_sig_est"	"q"	"V2"
"md:M00001"	"human"	31	8	0.00188424247773708	4.19923645647114	-0.274754472733768	1	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"md:M00001"	"hdi_diff"	31	8	0.000164991221603676	6.22118405975165	0.395102174318785	0.26167607746343	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"md:M00002"	"human"	12	3	0.0587612933244824	4.01657430262341	-0.309659119779994	1	"Glycolysis, core module involving three-carbon compounds"
"md:M00002"	"hdi_diff"	12	3	0.0230159024527566	5.94354892603059	0.25405173834261	1	"Glycolysis, core module involving three-carbon compounds"
"md:M00003"	"human"	20	4	0.0622342366656068	3.01282810411027	-0.388829107594857	1	"Gluconeogenesis, oxaloacetate => fructose-6P"
"md:M00003"	"hdi_diff"	20	4	0.0194928671203726	4.45983537182319	0.304224213731493	1	"Gluconeogenesis, oxaloacetate => fructose-6P"
"md:M00004"	"human"	15	4	0.0237550346195638	4.38321139607322	-0.124459177804522	1	"Pentose phosphate pathway (Pentose phosphate cycle)"
"md:M00004"	"hdi_diff"	15	6	7.39515783948811e-05	11.9120398016724	0.483554981842856	0.117804864383046	"Pentose phosphate pathway (Pentose phosphate cycle)"
"md:M00006"	"human"	6	1	0.38055745426625	2.40774161159199	0.0140125895256903	1	"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
"md:M00006"	"hdi_diff"	6	2	0.0367497213169219	8.91081672480496	0.44656184023782	1	"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
"md:M00007"	"human"	6	2	0.0716897698130435	6.021647653837	-0.129022291023572	1	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
"md:M00007"	"hdi_diff"	6	3	0.00265967361853947	17.8287239602215	0.452910822313742	1	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
"md:M00008"	"human"	5	1	0.329079506857383	3.0097458283033	-0.45889024972302	1	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
"md:M00008"	"hdi_diff"	5	1	0.239139506216474	4.4521938071492	-0.0621685876071512	1	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
"md:M00009"	"human"	42	6	0.0994400340619102	2.00898196462232	0.548418719839325	1	"Citrate cycle (TCA cycle, Krebs cycle)"
"md:M00009"	"hdi_diff"	42	5	0.0706594528903376	2.41052517968591	-0.350829073091555	1	"Citrate cycle (TCA cycle, Krebs cycle)"
"md:M00010"	"human"	6	1	0.38055745426625	2.40774161159199	0.506579355957717	1	"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"md:M00010"	"hdi_diff"	6	2	0.0367497213169219	8.91081672480496	-0.820062358892721	1	"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"md:M00011"	"human"	36	5	0.138483911615867	1.94363090798956	0.555391947152926	1	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"md:M00011"	"hdi_diff"	36	3	0.299550800518826	1.61955031644788	-0.272623525458028	1	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"md:M00012"	"human"	9	1	0.512491183964788	1.50467815125084	1.52007190877275	1	"Glyoxylate cycle"
"md:M00012"	"hdi_diff"	9	2	0.0793594904161492	5.09110853959073	-1.09410180074937	1	"Glyoxylate cycle"
"md:M00013"	"human"	7	0	1	0	-0.0733443522795979	1	"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
"md:M00013"	"hdi_diff"	7	0	1	0	0.0313972989847014	1	"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
"md:M00014"	"human"	12	2	0.233631755105311	2.40846057859777	0.483978170558947	1	"Glucuronate pathway (uronate pathway)"
"md:M00014"	"hdi_diff"	12	0	1	0	0.125072488324344	1	"Glucuronate pathway (uronate pathway)"
"md:M00016"	"human"	13	1	0.645781468757014	1.00297767076725	0.440040414605596	1	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"
"md:M00016"	"hdi_diff"	13	2	0.149725746041921	3.23949267034717	-0.0407180060608732	1	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"
"md:M00017"	"human"	13	0	1	0	0.057898611981916	1	"Methionine biosynthesis, aspartate => homoserine => methionine"
"md:M00017"	"hdi_diff"	13	1	0.508703790411212	1.48369027573416	0.0188557596759222	1	"Methionine biosynthesis, aspartate => homoserine => methionine"
"md:M00018"	"human"	10	1	0.549902298620793	1.3374497257001	0.115991732209829	1	"Threonine biosynthesis, aspartate => homoserine => threonine"
"md:M00018"	"hdi_diff"	10	1	0.421123141457058	1.97850268584178	0.0361104013651213	1	"Threonine biosynthesis, aspartate => homoserine => threonine"
"md:M00019"	"human"	6	1	0.38055745426625	2.40774161159199	1.04338787228544	1	"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"
"md:M00019"	"hdi_diff"	6	0	1	0	-0.430882689678835	1	"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"
"md:M00020"	"human"	6	0	1	0	-0.0704983662750109	1	"Serine biosynthesis, glycerate-3P => serine"
"md:M00020"	"hdi_diff"	6	1	0.279617463196384	3.56167328064575	0.182221528061841	1	"Serine biosynthesis, glycerate-3P => serine"
"md:M00021"	"human"	5	0	1	0	-0.0135301580102456	1	"Cysteine biosynthesis, serine => cysteine"
"md:M00021"	"hdi_diff"	5	0	1	0	0.0337121455747402	1	"Cysteine biosynthesis, serine => cysteine"
"md:M00022"	"human"	14	1	0.672968229975491	0.925786822537406	0.00650115360037582	1	"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"
"md:M00022"	"hdi_diff"	14	1	0.534849052142472	1.36951584704349	0.0630035593563881	1	"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"
"md:M00023"	"human"	15	1	0.69806935267474	0.859620151339201	0.0639112086310994	1	"Tryptophan biosynthesis, chorismate => tryptophan"
"md:M00023"	"hdi_diff"	15	0	1	0	0.0230160501635925	1	"Tryptophan biosynthesis, chorismate => tryptophan"
"md:M00024"	"human"	13	1	0.645781468757014	1.00297767076725	-0.177949481078044	1	"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine"
"md:M00024"	"hdi_diff"	13	2	0.149725746041921	3.23949267034717	0.0900351451183852	1	"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine"
"md:M00025"	"human"	12	1	0.616335870265359	1.09417548339537	-0.125018772798911	1	"Tyrosine biosynthesis, chorismate => HPP => tyrosine"
"md:M00025"	"hdi_diff"	12	2	0.131115622573568	3.56356117888273	-0.00042742020874624	1	"Tyrosine biosynthesis, chorismate => HPP => tyrosine"
"md:M00026"	"human"	18	1	0.762397791296088	0.707821402534606	-0.0970419771196665	1	"Histidine biosynthesis, PRPP => histidine"
"md:M00026"	"hdi_diff"	18	2	0.248038389827096	2.22665815022226	0.154335794773295	1	"Histidine biosynthesis, PRPP => histidine"
"md:M00027"	"human"	8	2	0.120894153426302	4.01503653359285	-0.175041695651703	1	"GABA (gamma-Aminobutyrate) shunt"
"md:M00027"	"hdi_diff"	8	2	0.063924627658222	5.93990571761088	0.322909252017854	1	"GABA (gamma-Aminobutyrate) shunt"
"md:M00028"	"human"	14	3	0.0867993810575892	3.28570730787288	0.546631063777755	1	"Ornithine biosynthesis, glutamate => ornithine"
"md:M00028"	"hdi_diff"	14	5	0.000564875178912452	9.92001044862647	-0.504866144311478	0.89137303232385	"Ornithine biosynthesis, glutamate => ornithine"
"md:M00029"	"human"	6	0	1	0	-0.00546141988014881	1	"Urea cycle"
"md:M00029"	"hdi_diff"	6	1	0.279617463196384	3.56167328064575	0.29609596275039	1	"Urea cycle"
"md:M00030"	"human"	9	1	0.512491183964788	1.50467815125084	-0.220238944211049	1	"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"
"md:M00030"	"hdi_diff"	9	1	0.388590941855708	2.22575807748088	0.313633668502671	1	"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"
"md:M00031"	"human"	6	3	0.00755513551262877	12.0499834800617	-1.64852570725944	1	"Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"
"md:M00031"	"hdi_diff"	6	0	1	0	0.451302247365791	1	"Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"
"md:M00032"	"human"	11	1	0.584443860668688	1.203664728855	0.940908213710013	1	"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"
"md:M00032"	"hdi_diff"	11	0	1	0	-0.51021995154072	1	"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"
"md:M00033"	"human"	5	0	1	0	-0.151019543169628	1	"Ectoine biosynthesis, aspartate => ectoine"
"md:M00033"	"hdi_diff"	5	2	0.0253863720841277	11.8798794351767	0.24233531895527	1	"Ectoine biosynthesis, aspartate => ectoine"
"md:M00034"	"human"	20	3	0.194757158344106	2.12558657539428	-0.239719752781261	1	"Methionine salvage pathway"
"md:M00034"	"hdi_diff"	20	5	0.0033503513076633	5.95085151001164	0.300526156654272	1	"Methionine salvage pathway"
