"group"	"group_name"	"num_kos"	"Z_mean"	"p.value"	"q.value"
"path:map01230"	"Biosynthesis of amino acids"	238	2.43096964625976	2.79710180394208e-17	2.28523217382068e-14
"path:map00340"	"Histidine metabolism"	47	4.68831694255982	3.92092316725639e-16	3.20339422764847e-13
"md:M00159"	"V/A-type ATPase, prokaryotes"	9	13.6091225527931	5.083940109779e-15	4.15357906968945e-12
"md:M00026"	"Histidine biosynthesis, PRPP => histidine"	20	4.56342874983862	3.04867010901762e-13	2.4907634790674e-10
"path:map00630"	"Glyoxylate and dicarboxylate metabolism"	101	3.27040899622319	3.25502364887798e-11	2.65935432113331e-08
"br:br01601"	"Enzymes of 2-oxocarboxylic acid metabolism"	60	5.38593706323064	1.33209895254782e-08	1.08832484423157e-05
"md:M00010"	"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"	6	5.98488773103336	3.67936137896569e-07	0.000300603824661497
"md:M00004"	"Pentose phosphate pathway (Pentose phosphate cycle)"	15	7.28940383273164	8.40363067091216e-07	0.000686576625813523
"md:M00045"	"Histidine degradation, histidine => N-formiminoglutamate => glutamate"	8	4.69767603287432	1.683172578852e-06	0.00137515199692208
"md:M00631"	"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P"	8	4.91783630397331	1.683172578852e-06	0.00137515199692208
"path:map00520"	"Amino sugar and nucleotide sugar metabolism"	156	2.38133496544319	4.7361002547707e-06	0.00386939390814766
"path:map00620"	"Pyruvate metabolism"	132	3.40804353509695	6.85852346519041e-06	0.00560341367106056
"path:map00260"	"Glycine, serine and threonine metabolism"	109	2.5432372119148	9.94663264986798e-06	0.00812639887494214
"md:M00009"	"Citrate cycle (TCA cycle, Krebs cycle)"	42	3.81091889759817	1.37323017015424e-05	0.0112192904901602
"path:map00020"	"Citrate cycle (TCA cycle)"	66	4.34719152784959	1.94350376156613e-05	0.0158784257319953
"md:M00008"	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	5	7.592636994921	1.96928632767502e-05	0.0160890692971049
"path:map00190"	"Oxidative phosphorylation"	223	8.71412725189995	2.7380219588327e-05	0.0223696394036632
"md:M00006"	"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"	6	8.44268285415252	3.90177904156037e-05	0.0318775347695482
