"trait"	"comp"	"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"mean_abu1"	"mean_abu2"	"log_fold_diff"	"q"	"status"
"g__Acetatifactor"	"human"	2.10819409071321	0.608711077627555	3.46337395226957	0.000702799737149108	4.93041078825191	7.22166638652795	0.38102100858524	0.403407049123588	"other"
"g__Acetatifactor"	"indus"	0.358495452310552	0.768072043318739	0.466747169655519	0.641386171933578	7.03860487896512	7.39710033127567	0.0496093366736574	1	"other"
"g__Agathobacter"	"human"	2.84861481126479	0.635188575362522	4.48467576678154	1.4811239708741e-05	5.19062129484786	7.77011357322007	0.402792837955338	0.00850165159281731	"Human"
"g__Agathobacter"	"indus"	-0.527031626914629	0.801481367601984	-0.657571901504706	0.511862994972466	8.03923610611264	7.51220447919802	-0.0677179494456322	1	"Human"
"g__Alistipes"	"human"	4.55321932704731	0.40567975231657	11.2236790252579	2.14516865993367e-21	0.168753569795296	6.87259758403825	3.65074326323316	1.23132681080193e-18	"Human_EUR"
"g__Alistipes"	"indus"	4.21164001242484	0.511886981766869	8.22767556597672	1.03384618638046e-13	4.72197289684259	8.93361290926742	0.636597417633727	5.93427710982383e-11	"Human_EUR"
"g__Alloprevotella"	"human"	1.34525574848707	0.727317117642471	1.84961375974153	0.0664191855594452	6.70877393948828	5.02515862001546	-0.288460659255173	1	"Human_AFR"
"g__Alloprevotella"	"indus"	-5.93153917475473	0.917729223633666	-6.46327808029185	1.48428803511184e-09	8.05402968797532	2.1224905132206	-1.3301228411586	8.51981332154196e-07	"Human_AFR"
"g__Angelakisella"	"human"	5.21191268283669	0.478488178194276	10.8924586235452	1.57931345975785e-20	0.130008362129466	3.98640210154773	3.35144761039718	9.06525925901005e-18	"Human_AFR"
"g__Angelakisella"	"indus"	-2.65455793086106	0.60375670204971	-4.39673451549114	2.12141602461107e-05	5.34192104496615	2.68736311410508	-0.685180898885372	0.0121769279812676	"Human_AFR"
"g__Avelusimicrobium"	"human"	1.19617026683349	0.290184258851594	4.12210597351952	6.31224934910751e-05	0.123750398864313	0.645918623639349	1.59006136398431	0.0362323112638771	"other"
"g__Avelusimicrobium"	"indus"	-1.3199206656978	0.366154691161133	-3.60481702832244	0.00042965314341524	1.3199206656978	0	-4.89028947659135	0.246620904320348	"other"
"g__Bacteroides"	"human"	5.3338424684855	0.547292637925016	9.74586920940144	1.50583335443861e-17	0.608893936383237	7.91956517969597	2.55041956951695	8.64348345447762e-15	"Human_EUR"
"g__Bacteroides"	"indus"	3.87128968403664	0.690574215180572	5.605899552772	1.02332132657456e-07	5.94273640486874	9.81402608890539	0.500980013216984	5.87386441453796e-05	"Human_EUR"
"g__Bifidobacterium"	"human"	-4.06477518899374	0.742350204083261	-5.4755493655631	1.88973541377189e-07	6.03935272846438	3.52609751931787	-0.536927555900833	0.000108470812750506	"NHP"
"g__Bifidobacterium"	"indus"	3.03839329386747	0.936697982120807	3.24372780967046	0.00146658522098933	1.97457753947065	5.01297083333813	0.928615493103897	0.841819916847877	"NHP"
"g__Blautia_A"	"human"	-3.66368290749371	0.48956836520716	-7.48349600968075	6.58554238310981e-12	6.50957122333855	4.76339348180198	-0.31175113676326	3.78010132790503e-09	"Human_EUR"
"g__Blautia_A"	"indus"	3.7551142833327	0.617737689405007	6.07881686310827	1.0317793444788e-08	2.84588831584485	6.60100259917757	0.839352382894507	5.92241343730828e-06	"Human_EUR"
"g__Butyrivibrio_A"	"human"	3.10915689031976	0.500319615423759	6.21434138193118	5.24648449675878e-09	0.0646131667416953	2.93357826337684	3.67506422714427	3.01148210113954e-06	"Human"
"g__Butyrivibrio_A"	"indus"	-0.47037559596568	0.631303624091589	-0.745086164589225	0.457433986807853	3.17377005706144	2.70339446109577	-0.159865627362728	1	"Human"
"g__Caccovivens"	"human"	1.18545445460595	0.313743310052849	3.7784214567197	0.000230379745957548	0.194143719525765	0.675122510745303	1.21077341679967	0.132237974179633	"other"
"g__Caccovivens"	"indus"	-1.3795981741317	0.395881517663656	-3.48487644049051	0.000652742257081274	1.37959817413171	0	-4.93418480797956	0.374674055564651	"other"
"g__CAG.103"	"human"	1.92462644334368	0.733595221329849	2.62355368108144	0.00963923647191996	3.09080313641829	5.08696301399071	0.496983720703802	1	"other"
"g__CAG.103"	"indus"	0.140086308697969	0.925650939049335	0.151338158681977	0.879920776860462	5.01542957976196	5.15551588845993	0.0274940403819308	1	"other"
