"ogs"	"Z_sum"	"w_sum"	"num_sig"	"Z_meta"	"p_meta"	"qval"	"annot"
"ko:K01273"	-15.7384431656113	4	4	-7.86922158280564	3.56854634113346e-15	1.17940456574461e-11	"DPEP; membrane dipeptidase [EC:3.4.13.19]"
"ko:K02574"	-17.4616242606344	5	4	-7.80907576886762	5.76088617937094e-15	1.90109243919241e-11	"napH; ferredoxin-type protein NapH"
"ko:K06215"	-15.0425756292135	4	3	-7.52128781460673	5.42392985441946e-14	1.78230335016223e-10	"pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]"
"ko:K08681"	-14.4037815859056	4	3	-7.2018907929528	5.93832475605989e-13	1.93114321067068e-09	"pdxT, pdx2; pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]"
"ko:K22432"	-10.9989640771874	3	2	-6.35025487077119	2.14958485534477e-10	6.827081500575e-07	"carE; caffeyl-CoA reductase-Etf complex subunit CarE [EC:1.3.1.108]"
"ko:K12251"	-12.659059224633	4	3	-6.32952961231652	2.45909698760211e-10	7.80025564467389e-07	"aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]"
"ko:K05339"	-12.3427301513825	4	3	-6.17136507569124	6.77028923370404e-10	2.13331813754014e-06	"lrgB; holin-like protein LrgB"
"ko:K00702"	-11.8963705742485	4	3	-5.94818528712425	2.71131581019306e-09	8.45930532780235e-06	"E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]"
"ko:K06901"	-10.0950947004966	3	2	-5.82840564282649	5.59594224038184e-09	1.72970574650203e-05	"pbuG, azgA, ghxP, ghxQ, adeQ; adenine/guanine/hypoxanthine permease"
"ko:K03786"	-9.75684130297799	3	2	-5.6331149527148	1.76983402549521e-08	5.34666859102102e-05	"aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]"
"ko:K06962"	-9.7223889709117	3	2	-5.61322388952212	1.98591376320048e-08	5.99150182357585e-05	"K06962; uncharacterized protein"
"ko:K02388"	-10.9984381894171	4	2	-5.49921909470856	3.81476898991397e-08	0.000113909002038831	"flgC; flagellar basal-body rod protein FlgC"
"ko:K01450"	-10.9565284177845	4	4	-5.47826420889224	4.29518460466833e-08	0.000128082404911209	NA
"ko:K03642"	-9.325587567711	3	2	-5.38413049256937	7.27956797396589e-08	0.000215984781787568	"rlpA; rare lipoprotein A"
"ko:K05592"	-9.18547894786948	3	2	-5.30323874318808	1.13765977600089e-07	0.000335154570009861	"deaD, cshA; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]"
"ko:K10536"	-9.0443077846853	3	2	-5.22173353412189	1.77255907067068e-07	0.00051865078407824	"aguA; agmatine deiminase [EC:3.5.3.12]"
"ko:K06890"	-10.131657596573	4	2	-5.06582879828648	4.06627249876076e-07	0.00117555937939174	"K06890; uncharacterized protein"
"ko:K03502"	-11.2267293744001	5	3	-5.02074600923046	5.14711827624957e-07	0.001484943622698	"umuC; DNA polymerase V"
"ko:K02441"	-8.68509789433929	3	2	-5.01434360723504	5.32148154411378e-07	0.00153471527732241	"glpG; rhomboid protease GlpG [EC:3.4.21.105]"
"ko:K07454"	-8.55242638831217	3	3	-4.93774567751649	7.90308133178198e-07	0.00226265218528918	"K07454; putative restriction endonuclease"
"ko:K00626"	-8.40442413988682	3	2	-4.85229653954744	1.2203996005914e-06	0.00346471446607898	"ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
"ko:K02650"	-9.24550616608902	4	2	-4.62275308304451	3.78680373492903e-06	0.0105613956167171	"pilA; type IV pilus assembly protein PilA"
"ko:K11528"	-7.95928847888322	3	2	-4.59529734584111	4.32132598380178e-06	0.0120089649089852	"glmU; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]"
"ko:K08602"	-9.18511257427981	4	2	-4.5925562871399	4.37849361982829e-06	0.012163455275883	"pepF, pepB; oligoendopeptidase F [EC:3.4.24.-]"
