genome	magscot_domain	magscot_score	cluster_97_final	genome_rep97	GreatApes_95_final	kingdom	phylum	class	order	family	genus	species	in_manara	in_uhgg	novel
MGYG000004626	Bacteria	1	MGYG000004626	MGYG000004626	GreatApes_cluster95_000001	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aphodousia	s__Aphodousia_sp900553105	FALSE	TRUE	FALSE
MGYG000000850	Bacteria	1	MGYG000000850	MGYG000000850	GreatApes_cluster95_000002	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aphodousia	s__Aphodousia_sp900544345	FALSE	TRUE	FALSE
MGYG000000567	Bacteria	1	MGYG000000567	MGYG000000567	GreatApes_cluster95_000003	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aphodousia	s__Aphodousia_faecalis	FALSE	TRUE	FALSE
H07667-L1_cleanbin_000001	Bacteria	1	Ptschw_cluster97_000001	H07667-L1_cleanbin_000001	GreatApes_cluster95_000004	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__Phil12	s__Phil12_spGreatApes000004	FALSE	FALSE	TRUE
MGYG000001438	Bacteria	1	MGYG000001438	MGYG000001438	GreatApes_cluster95_000005	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Paenisporosarcina	s__Paenisporosarcina_sp000411295	FALSE	TRUE	FALSE
MGYG000001552	Bacteria	1	MGYG000001552	MGYG000001552	GreatApes_cluster95_000006	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	s__Butyricimonas_synergistica	FALSE	TRUE	FALSE
MGYG000000203	Bacteria	1	MGYG000000203	MGYG000000203	GreatApes_cluster95_000007	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	s__Butyricimonas_virosa	FALSE	TRUE	FALSE
MGYG000000168	Bacteria	1	MGYG000000168	MGYG000000168	GreatApes_cluster95_000008	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	s__Butyricimonas_sp003479425	FALSE	TRUE	FALSE
MGYG000001376	Bacteria	1	MGYG000001376	MGYG000001376	GreatApes_cluster95_000009	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__Dysgonomonas_gadei	FALSE	TRUE	FALSE
MGYG000001377	Bacteria	1	MGYG000001377	MGYG000001377	GreatApes_cluster95_000010	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__Dysgonomonas_mossii	FALSE	TRUE	FALSE
MGYG000003362	Bacteria	1	MGYG000003362	MGYG000003362	GreatApes_cluster95_000011	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__Dysgonomonas_sp900079735	FALSE	TRUE	FALSE
H07644-L1_cleanbin_000001	Bacteria	1	HsA2_cluster97_000003	H07644-L1_cleanbin_000001	GreatApes_cluster95_000012	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides_sp900549585	TRUE	TRUE	FALSE
MGYG000000696	Bacteria	1	MGYG000000696	MGYG000000696	GreatApes_cluster95_000012	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides_sp900549585	TRUE	TRUE	FALSE
ManaraSGB1928	Bacteria	0.611666666666667	ManaraSGB1928	ManaraSGB1928	GreatApes_cluster95_000012	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides_sp900549585	TRUE	TRUE	FALSE
H07642-L1_cleanbin_000036	Bacteria	0.525	HsA2_cluster97_000333	H07642-L1_cleanbin_000036	GreatApes_cluster95_000012	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides_sp900549585	TRUE	TRUE	FALSE
MGYG000002478	Bacteria	1	MGYG000002478	MGYG000002478	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07197-L1_cleanbin_000005	Bacteria	0.9875	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
H07603-L1_cleanbin_000002	Bacteria	0.9875	HsA1_cluster97_000015	H07603-L1_cleanbin_000002	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
H07687-L1_cleanbin_000014	Bacteria	0.979166666666667	HsA1_cluster97_000015	H07603-L1_cleanbin_000002	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07183-L1_cleanbin_000004	Bacteria	0.979096638655462	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07184-L1_cleanbin_000006	Bacteria	0.979096638655462	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07146-L1_cleanbin_000010	Bacteria	0.966454802259887	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07187-L1_cleanbin_000005	Bacteria	0.96235632183908	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07145-L1_cleanbin_000012	Bacteria	0.945471014492754	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07182-L1_cleanbin_000014	Bacteria	0.940918803418803	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
