"GreatApes_95_final"	"K01994"	"K02491"	"K03091"	"K03716"	"K04769"	"K06012"	"K06283"	"K06288"	"K06289"	"K06291"	"K06292"	"K06295"	"K06296"	"K06297"	"K06305"	"K06306"	"K06307"	"K06308"	"K06309"	"K06310"	"K06311"	"K06312"	"K06313"	"K06320"	"K06323"	"K06327"	"K06328"	"K06330"	"K06331"	"K06333"	"K06334"	"K06335"	"K06336"	"K06337"	"K06338"	"K06343"	"K06344"	"K06348"	"K06373"	"K06374"	"K06375"	"K06377"	"K06378"	"K06379"	"K06380"	"K06381"	"K06382"	"K06383"	"K06384"	"K06385"	"K06386"	"K06387"	"K06390"	"K06391"	"K06392"	"K06393"	"K06394"	"K06395"	"K06396"	"K06397"	"K06398"	"K06399"	"K06401"	"K06402"	"K06403"	"K06404"	"K06405"	"K06406"	"K06407"	"K06408"	"K06409"	"K06412"	"K06413"	"K06416"	"K06417"	"K06418"	"K06419"	"K06420"	"K06421"	"K06426"	"K06436"	"K06438"	"K06439"	"K07257"	"K07697"	"K07698"	"K07699"	"K08384"	"K10211"	"K10212"	"K13532"	"K13533"
"GreatApes_cluster95_000026"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"GreatApes_cluster95_000027"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"GreatApes_cluster95_000028"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"GreatApes_cluster95_000029"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"GreatApes_cluster95_000057"	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0
"GreatApes_cluster95_000061"	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0
"GreatApes_cluster95_000073"	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0
"GreatApes_cluster95_000114"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
"GreatApes_cluster95_000171"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"GreatApes_cluster95_000192"	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
