"ogs"	"Z_sum"	"w_sum"	"num_sig"	"Z_meta"	"p_meta"	"qval"	"annot"
"ko:K07173"	-17.0188041710012	3	3	-9.82581116941304	8.71693978033658e-23	2.79029242368574e-19	"luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]"
"ko:K01267"	-14.7500191864567	3	3	-8.51592754785295	1.65262136505258e-17	5.21236778537584e-14	"DNPEP; aspartyl aminopeptidase [EC:3.4.11.21]"
"ko:K01273"	-13.44919670119	3	3	-7.76489733581627	8.17113832452021e-15	2.54122401892579e-11	"DPEP; membrane dipeptidase [EC:3.4.13.19]"
"ko:K08659"	-13.0995522900454	3	3	-7.56303004092127	3.93786611167234e-14	1.22034470800726e-10	"pepDA, pepDB; dipeptidase [EC:3.4.-.-]"
"ko:K05339"	-14.1193909059718	4	4	-7.05969545298591	1.66867913911805e-12	5.12117627795328e-09	"lrgB; holin-like protein LrgB"
"ko:K00702"	-12.7572023735815	4	2	-6.37860118679075	1.78712749856177e-10	5.40427355565079e-07	"E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]"
"ko:K06901"	-11.9096771831117	4	3	-5.95483859155586	2.60328630068883e-09	7.76299974865409e-06	"pbuG, azgA, ghxP, ghxQ, adeQ; adenine/guanine/hypoxanthine permease"
"ko:K15634"	-11.8555333934004	4	2	-5.9277666967002	3.07082361452461e-09	9.14491272405429e-06	"gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"ko:K02617"	-11.8218206710231	4	3	-5.91091033551154	3.40222202214396e-09	1.01080016277897e-05	"paaY; phenylacetic acid degradation protein"
"ko:K07010"	-11.0175044699668	4	1	-5.50875223498339	3.61386133102445e-08	1	"K07010; putative glutamine amidotransferase"
"ko:K18997"	-9.47513752414058	3	2	-5.47047320017129	4.4883557657015e-08	0.000130835570570199	"cbpM; chaperone modulatory protein CbpM"
"ko:K02855"	-9.37304056203244	3	2	-5.41152749161471	6.24893983592537e-08	0.000181469212835273	"rhaS; AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS"
"ko:K06890"	-9.25342644068922	3	3	-5.34246824645832	9.16894366333857e-08	0.000264157266940784	"K06890; uncharacterized protein"
"ko:K03342"	-10.4242865783527	4	3	-5.21214328917637	1.86671271832401e-07	0.000534439851256164	"pabBC; para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]"
"ko:K03502"	-10.4225962491761	4	3	-5.21129812458807	1.87523824517666e-07	0.000536693185769561	"umuC; DNA polymerase V"
"ko:K01361"	-9.01783744676747	3	3	-5.20645087739949	1.92486618866167e-07	0.000550704216576104	"E3.4.21.96; lactocepin [EC:3.4.21.96]"
"ko:K01243"	-8.99269115706866	3	3	-5.19193266027276	2.08122283561252e-07	0.000594813486418058	"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
"ko:K02574"	-10.3316866540992	4	2	-5.16584332704958	2.39357228051708e-07	0.000683364886087625	"napH; ferredoxin-type protein NapH"
"ko:K22432"	-8.82766930907658	3	3	-5.09665725191236	3.45703411430266e-07	0.000984217612341966	"carE; caffeyl-CoA reductase-Etf complex subunit CarE [EC:1.3.1.108]"
"ko:K00547"	-8.74183434475987	3	1	-5.04710041215823	4.48565630794745e-07	1	"mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]"
"ko:K15986"	-8.63019743752391	3	2	-4.98264681371405	6.27203694153272e-07	0.00177059602859469	"ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]"
"ko:K01839"	-8.61761180280112	3	2	-4.97538049411892	6.51195994937186e-07	0.0018370239017178	"deoB; phosphopentomutase [EC:5.4.2.7]"
"ko:K01768"	-8.57494428876312	3	3	-4.95074639340343	7.39293918804691e-07	0.00207963379359759	"E4.6.1.1; adenylate cyclase [EC:4.6.1.1]"
"ko:K05350"	-8.36601631433451	3	2	-4.83012177112583	1.36449576670439e-06	0.00380148520603844	"bglB; beta-glucosidase [EC:3.2.1.21]"
"ko:K03784"	-8.36063988804078	3	3	-4.82701768995787	1.38592815167009e-06	0.0038598099024012	"deoD; purine-nucleoside phosphorylase [EC:2.4.2.1]"
"ko:K10119"	-8.31556440307518	3	3	-4.80099334657912	1.57880515171277e-06	0.0043874995166098	"msmG; raffinose/stachyose/melibiose transport system permease protein"
"ko:K00772"	-8.15540754010899	3	3	-4.70852673863303	2.49513639161825e-06	0.00686911048612503	"mtaP, MTAP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]"
"ko:K01223"	-8.14961437791403	3	3	-4.70518205488031	2.5363950939249e-06	0.00698015929848133	"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"ko:K03823"	-9.35752309220061	4	2	-4.67876154610031	2.88612850768091e-06	0.00793685339612249	"pat, bar; phosphinothricin acetyltransferase [EC:2.3.1.183]"
"ko:K21429"	-7.98237205447513	3	2	-4.60862465442296	4.05341327472494e-06	0.0110617648267244	"impA; immunomodulating metalloprotease"
"ko:K09691"	-7.94555995479139	3	1	-4.58737117876112	4.48862223311464e-06	1	"wzt, rbfB; lipopolysaccharide transport system ATP-binding protein"
"ko:K05800"	-7.73941983942005	3	2	-4.4683561276607	7.88229999003792e-06	0.0211876223732219	"ybaO; Lrp/AsnC family transcriptional regulator"
"ko:K04093"	-7.48742182096594	3	2	-4.32286500387096	1.54015980961599e-05	0.040737226964343	"pheA1; chorismate mutase [EC:5.4.99.5]"
"ko:K10254"	-7.39872558411223	3	2	-4.27165620764737	1.94026542331424e-05	0.0511259939043303	"ohyA, sph; oleate hydratase [EC:4.2.1.53]"
"ko:K00074"	-7.27993549613337	3	2	-4.20307271837571	2.63315950493466e-05	0.0688571210540414	"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
"ko:K08234"	-8.40532165702751	4	1	-4.20266082851375	2.63795698302382e-05	1	"yaeR; glyoxylase I family protein"
"ko:K01897"	-7.27070959584011	3	1	-4.19774614235788	2.69584579284226e-05	1	"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
"ko:K06966"	-7.25998962338903	3	3	-4.19155696337754	2.77046606505034e-05	0.0723645736191149	"ppnN; pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]"
