"ogs"	"Z_sum"	"w_sum"	"Z_meta"	"p_meta"	"q_meta"	"gene"	"annot"
"ko:K20426"	-29.7189104697086	11	-8.960588655108	3.2294967488076e-19	1.77202486607073e-15	"acbU"	"acbU; 1-epi-valienol-7-phosphate kinase [EC:2.7.-.-]"
"ko:K15674"	-24.1739329492756	8	-8.54677595819085	1.26574559491274e-17	6.94388033369128e-14	"rhiA"	"rhiA; rhizoxin biosynthesis, polyketide synthase / nonribosomal peptide synthetase RhiA"
"ko:K06909"	-39.3502397760093	26	-7.71721694163179	1.18897188157189e-14	6.52151077042179e-11	"xtmB"	"xtmB; phage terminase large subunit"
"ko:K13614"	-22.6599048886333	9	-7.55330162954444	4.24360654408528e-14	2.32676946812196e-10	"pksN, baeN"	"pksN, baeN; bacillaene biosynthesis, polyketide synthase / nonribosomal peptide synthetase PksN/BaeN"
"ko:K17723"	-27.4680642743831	14	-7.34114897090192	2.11767937278854e-13	1.16091183216268e-09	"preA"	"preA; dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]"
"ko:K07315"	-33.082496104782	21	-7.21919250372598	5.2297179934902e-13	2.86536248863328e-09	"rsbU_P"	"rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]"
"ko:K03287"	-16.1360820833776	5	-7.21627528578977	5.34308405746181e-13	2.92694144667758e-09	"TC.OMF"	"TC.OMF; outer membrane factor, OMF family"
"ko:K18926"	-18.8164093025839	8	-6.65260530771935	2.87949646472154e-11	1.57566046549563e-07	"lmrB"	"lmrB; MFS transporter, DHA2 family, lincomycin resistance protein"
"ko:K22205"	-18.4664627948365	8	-6.52888053337899	6.62630760519146e-11	3.62525289080025e-07	"E3.13.2.3"	"E3.13.2.3; S-adenosyl-L-methionine hydrolase (adenosine-forming) [EC:3.13.2.3]"
"ko:K03585"	-15.4041667418161	6	-6.28872473836671	3.20084437943477e-10	1.75054179111288e-06	"acrA, mexA, adeI, smeD, mtrC, cmeA"	"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system"
"ko:K00661"	-28.0648264441354	20	-6.27548597058204	3.48543908794015e-10	1.90583809328568e-06	"maa"	"maa; maltose O-acetyltransferase [EC:2.3.1.79]"
"ko:K06221"	-30.8819921743548	25	-6.17639843487097	6.55803635582569e-10	3.58527847572991e-06	"dkgA"	"dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]"
"ko:K18687"	-17.2689967069076	8	-6.10551233787125	1.02471438231549e-09	5.60108881373649e-06	"fadD3"	"fadD3; HIP---CoA ligase [EC:6.2.1.41]"
"ko:K00633"	-30.5184707218837	25	-6.10369414437674	1.03644535446755e-09	5.66417386216517e-06	"lacA"	"lacA; galactoside O-acetyltransferase [EC:2.3.1.18]"
"ko:K01993"	-18.8680226476225	10	-5.96659265101276	2.42259201784422e-09	1.32321976014651e-05	"ABC-2.TX"	"ABC-2.TX; HlyD family secretion protein"
"ko:K04757"	-25.7810288505097	19	-5.91457365367781	3.32736320766469e-09	1.81640757506415e-05	"rsbW"	"rsbW; serine/threonine-protein kinase RsbW [EC:2.7.11.1]"
"ko:K20904"	-17.0322928227809	9	-5.67743094092698	1.36732699176348e-08	7.45466675909448e-05	"hgdB"	"hgdB; (R)-2-hydroxyglutaryl-CoA dehydratase subunit beta [EC:4.2.1.167]"
"ko:K08082"	-18.1695354458816	11	-5.4783210626411	4.29380503560755e-08	0.000233883560289543	"algZ"	"algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]"
"ko:K07006"	-19.7111138670459	13	-5.46687936493411	4.58027540864243e-08	0.000249441798754667	"K07006"	"K07006; uncharacterized protein"
"ko:K13888"	-18.0622357108875	11	-5.44596897527018	5.15241174008995e-08	0.000280548819247898	"macA"	"macA; membrane fusion protein, macrolide-specific efflux system"
"ko:K07150"	-24.3481342683167	20	-5.44440833492483	5.19778617182846e-08	0.000282967479194341	"K07150"	"K07150; uncharacterized protein"
"ko:K01811"	-24.1278123611786	20	-5.3951428587955	6.84690537376799e-08	0.000372608590440454	"xylS, yicI"	"xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]"
"ko:K01607"	-29.0503524293687	30	-5.30384444301342	1.13388946593091e-07	0.000616949258413007	"pcaC"	"pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]"
"ko:K07005"	-25.8797570800495	24	-5.28268329277513	1.27305361005752e-07	0.000692541163871289	"K07005"	"K07005; uncharacterized protein"
"ko:K20038"	-22.2516306900972	18	-5.24475965114214	1.56486186200875e-07	0.000851128366746561	"cutC"	"cutC; choline trimethylamine-lyase [EC:4.3.99.4]"
"ko:K03315"	-23.8705819129577	21	-5.20898802375106	1.89873367346406e-07	0.00103196175152772	"nhaC"	"nhaC; Na+:H+ antiporter, NhaC family"
"ko:K02315"	-22.6916873309345	19	-5.20583010178768	1.9313128973699e-07	0.0010494754284308	"dnaC"	"dnaC; DNA replication protein DnaC"
"ko:K01139"	-19.3996107713141	14	-5.18476406735906	2.1628849201008e-07	0.00117466280010674	"spoT"	"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"
"ko:K01143"	-11.5867654666399	5	-5.18175904455077	2.19803050524695e-07	0.0011935305643491	"exo"	"exo; Enterobacteriaceae phage exonuclease [EC:3.1.11.3]"
"ko:K14982"	-20.5882004372414	16	-5.14705010931034	2.64614658955598e-07	0.00143632836881099	"ciaH"	"ciaH; two-component system, OmpR family, sensor histidine kinase CiaH [EC:2.7.13.3]"
"ko:K00647"	-13.3827884247884	7	-5.05821857436913	4.23191211039011e-07	0.00229623551109767	"fabB"	"fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]"
"ko:K00805"	-11.2626427155361	5	-5.03680694364629	4.7336177441347e-07	0.00256751426441866	"hepS"	"hepS; heptaprenyl diphosphate synthase component 1 [EC:2.5.1.30]"
